   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0256282, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0176596, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00969094, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00172229, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00624636, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.014215, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0221837, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0301523, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.038121, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0460896, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0540583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0620269, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0699956, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0779642, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0859329, 0, 3.15389e-28, 0, 1.41421, -3.15389e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82644e-31, 0, 0, 1.45745e-33, 4.10627e-34, 0, 3.14705e-28, 0, 0
0.0939015, 0, 4.82522e-27, 0, 1.41421, -4.82522e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04436e-29, 0, 0, 2.22972e-32, 1.79772e-31, 0, 4.81458e-27, 0, 0
0.10187, 0, 3.24421e-26, 0, 1.41421, -3.24421e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.02161e-29, 0, 0, 1.50508e-31, 1.53489e-30, 0, 3.23702e-26, 0, 0
0.109839, 0, 1.69996e-25, 0, 1.41421, -1.69996e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67928e-28, 0, 0, 7.92726e-31, 9.09817e-30, 0, 1.69618e-25, 0, 0
0.117807, 0, 7.77053e-25, 0, 1.41421, -7.77053e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6818e-27, 0, 0, 3.64421e-30, 4.51878e-29, 0, 7.75322e-25, 0, 0
0.125776, 0, 3.23922e-24, 0, 1.41421, -3.23922e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01071e-27, 0, 0, 1.52819e-29, 2.00648e-28, 0, 3.232e-24, 0, 0
0.133745, 0, 1.25986e-23, 0, 1.41421, -1.25986e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72673e-26, 0, 0, 5.98019e-29, 8.2159e-28, 0, 1.25704e-23, 0, 0
0.141713, 0, 4.63437e-23, 0, 1.41421, -4.63437e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00302e-25, 0, 0, 2.21364e-28, 3.15746e-27, 0, 4.624e-23, 0, 0
0.149682, 0, 1.62674e-22, 0, 1.41421, -1.62674e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52075e-25, 0, 0, 7.82038e-28, 1.15173e-26, 0, 1.6231e-22, 0, 0
0.157651, 0, 5.48309e-22, 0, 1.41421, -5.48309e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1867e-24, 0, 0, 2.65343e-27, 4.01812e-26, 0, 5.4708e-22, 0, 0
0.165619, 0, 1.7829e-21, 0, 1.41421, -1.7829e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85872e-24, 0, 0, 8.68708e-27, 1.34825e-25, 0, 1.7789e-21, 0, 0
0.173588, 0, 5.61271e-21, 0, 1.41421, -5.61271e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21475e-23, 0, 0, 2.75411e-26, 4.36938e-25, 0, 5.6001e-21, 0, 0
0.181557, 0, 1.71548e-20, 0, 1.41421, -1.71548e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71278e-23, 0, 0, 8.47942e-26, 1.37212e-24, 0, 1.71162e-20, 0, 0
0.189525, 0, 5.10231e-20, 0, 1.41421, -5.10231e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10428e-22, 0, 0, 2.54117e-25, 4.18633e-24, 0, 5.09083e-20, 0, 0
0.197494, 0, 1.47955e-19, 0, 1.41421, -1.47955e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20214e-22, 0, 0, 7.42689e-25, 1.24359e-23, 0, 1.47622e-19, 0, 0
0.205463, 0, 4.1895e-19, 0, 1.41421, -4.1895e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06718e-22, 0, 0, 2.12022e-24, 3.60332e-23, 0, 4.18005e-19, 0, 0
0.213431, 0, 1.15995e-18, 0, 1.41421, -1.15995e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51044e-21, 0, 0, 5.92023e-24, 1.01992e-22, 0, 1.15733e-18, 0, 0
0.2214, 0, 3.14382e-18, 0, 1.41421, -3.14382e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80404e-21, 0, 0, 1.61876e-23, 2.82371e-22, 0, 3.13672e-18, 0, 0
0.229369, 0, 8.3491e-18, 0, 1.41421, -8.3491e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80696e-20, 0, 0, 4.33851e-23, 7.65507e-22, 0, 8.33022e-18, 0, 0
0.237337, 0, 2.17446e-17, 0, 1.41421, -2.17446e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70608e-20, 0, 0, 1.14076e-22, 2.03408e-21, 0, 2.16954e-17, 0, 0
0.245306, 0, 5.55787e-17, 0, 1.41421, -5.55787e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20286e-19, 0, 0, 2.94484e-22, 5.30195e-21, 0, 5.54529e-17, 0, 0
