   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_17.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00924194, 0.188491, 0, 0, 1.47936, 0.188491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00134369, 0.997589, 0, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00655455, 1.36493, 3.33808e-15, 0, 1.83437, 1.36493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16407e-17, 0, 0, 2.56206e-20, 7.07058e-19, 0, 3.32571e-15, 0, 0
0.0144528, 2.81151, 5.92045e-15, 0, 2.19352, 2.81151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0646e-17, 0, 0, 4.63798e-20, 1.2883e-18, 0, 5.89847e-15, 0, 0
0.022351, 1.63748, 1.04208e-14, 0, 1.90722, 1.63748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63394e-17, 0, 0, 8.33285e-20, 2.33086e-18, 0, 1.0382e-14, 0, 0
0.0302493, 0.352874, 1.82049e-14, 0, 1.53391, 0.352874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.34839e-17, 0, 0, 1.48609e-19, 4.18811e-18, 0, 1.81371e-14, 0, 0
0.0381475, 1.64713, 3.157e-14, 0, 1.90975, 1.64713, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10089e-16, 0, 0, 2.63114e-19, 7.47455e-18, 0, 3.14521e-14, 0, 0
0.0460458, 0.171614, 5.46339e-14, 0, 1.47364, 0.171614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90515e-16, 0, 0, 4.66242e-19, 1.33836e-17, 0, 5.44295e-14, 0, 0
0.053944, 0.828386, 9.33375e-14, 0, 1.68178, 0.828386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25477e-16, 0, 0, 8.13309e-19, 2.35566e-17, 0, 9.29876e-14, 0, 0
0.0618423, 0, 1.58345e-13, 0, 1.41421, -1.58345e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52159e-16, 0, 0, 1.40903e-18, 4.11995e-17, 0, 1.5775e-13, 0, 0
