   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_19.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0553868, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0472898, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0391928, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0310958, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0229988, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0149017, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00680472, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0012923, 0, 3.03112e-13, 0, 1.41421, -3.03112e-13, 0, 0, 0, 0, 0, 0, 8.3718e-15, 0, 0, 2.41477e-17, 1.76442e-15, 2.92951e-13, 0, 0
0.00938932, 0, 5.04179e-13, 0, 1.41421, -5.04179e-13, 0, 0, 0, 0, 0, 0, 1.39213e-14, 0, 0, 4.12407e-17, 3.06922e-15, 4.87147e-13, 0, 0
0.0174864, 0, 8.33057e-13, 0, 1.41421, -8.33057e-13, 0, 0, 0, 0, 0, 0, 2.29952e-14, 0, 0, 7.00982e-17, 5.32011e-15, 8.04671e-13, 0, 0
0.0255834, 0, 1.3627e-12, 0, 1.41421, -1.3627e-12, 0, 0, 0, 0, 0, 0, 3.76037e-14, 0, 0, 1.17793e-16, 9.10338e-15, 1.31587e-12, 0, 0
0.0336804, 0, 2.21114e-12, 0, 1.41421, -2.21114e-12, 0, 0, 0, 0, 0, 0, 6.09972e-14, 0, 0, 1.96413e-16, 1.5455e-14, 2.1345e-12, 0, 0
0.0417774, 0, 3.55945e-12, 0, 1.41421, -3.55945e-12, 0, 0, 0, 0, 0, 0, 9.81593e-14, 0, 0, 3.25037e-16, 2.60354e-14, 3.43493e-12, 0, 0
0.0498744, 0, 5.68525e-12, 0, 1.41421, -5.68525e-12, 0, 0, 0, 0, 0, 0, 1.56728e-13, 0, 0, 5.33926e-16, 4.3525e-14, 5.48446e-12, 0, 0
0.0579714, 0, 9.01093e-12, 0, 1.41421, -9.01093e-12, 0, 0, 0, 0, 0, 0, 2.48319e-13, 0, 0, 8.70747e-16, 7.22174e-14, 8.68953e-12, 0, 0
0.0660685, 0, 1.41838e-11, 0, 1.41421, -1.41838e-11, 0, 0, 0, 0, 0, 0, 3.9072e-13, 0, 0, 1.41275e-15, 1.19207e-13, 1.36724e-11, 0, 0
0.0741655, 0, 2.21434e-11, 0, 1.41421, -2.21434e-11, 0, 0, 0, 0, 0, 0, 6.09747e-13, 0, 0, 2.27219e-15, 1.94874e-13, 2.13365e-11, 0, 0
0.0822625, 0, 3.43163e-11, 0, 1.41421, -3.43163e-11, 0, 0, 0, 0, 0, 0, 9.4456e-13, 0, 0, 3.63032e-15, 3.16291e-13, 3.30518e-11, 0, 0
0.0903595, 0, 5.27962e-11, 0, 1.41421, -5.27962e-11, 0, 0, 0, 0, 0, 0, 1.45262e-12, 0, 0, 5.76308e-15, 5.09739e-13, 5.08281e-11, 0, 0
0.0984566, 0, 8.06489e-11, 0, 1.41421, -8.06489e-11, 0, 0, 0, 0, 0, 0, 2.21801e-12, 0, 0, 9.09226e-15, 8.15809e-13, 7.7606e-11, 0, 0
0.106554, 0, 1.2233e-10, 0, 1.41421, -1.2233e-10, 0, 0, 0, 0, 0, 0, 3.36284e-12, 0, 0, 1.42592e-14, 1.29676e-12, 1.17656e-10, 0, 0
