   PIQUANT 0.0.0-main  ps__0545_0715362334_000PTFE_shot_16.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00350859, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00436719, 0, 8.37651e-15, 0, 1.41421, -8.37651e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97187e-17, 0, 0, 7.74489e-20, 1.34067e-18, 0, 8.33537e-15, 0, 0
0.012243, 0, 1.45434e-14, 0, 1.41421, -1.45434e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89599e-17, 0, 0, 1.37149e-19, 2.39456e-18, 0, 1.44719e-14, 0, 0
0.0201188, 0, 2.50706e-14, 0, 1.41421, -2.50706e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18876e-16, 0, 0, 2.41171e-19, 4.24895e-18, 0, 2.49473e-14, 0, 0
0.0279945, 0, 4.29144e-14, 0, 1.41421, -4.29144e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03483e-16, 0, 0, 4.21172e-19, 7.49104e-18, 0, 4.2703e-14, 0, 0
0.0358703, 0, 7.29496e-14, 0, 1.41421, -7.29496e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45896e-16, 0, 0, 7.30547e-19, 1.3124e-17, 0, 7.25898e-14, 0, 0
0.0437461, 0, 1.23158e-13, 0, 1.41421, -1.23158e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8396e-16, 0, 0, 1.25872e-18, 2.28501e-17, 0, 1.2255e-13, 0, 0
0.0516219, 0, 2.0652e-13, 0, 1.41421, -2.0652e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.79218e-16, 0, 0, 2.15452e-18, 3.95417e-17, 0, 2.05499e-13, 0, 0
0.0594977, 0, 3.43999e-13, 0, 1.41421, -3.43999e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63106e-15, 0, 0, 3.66394e-18, 6.80158e-17, 0, 3.42296e-13, 0, 0
0.0673735, 0, 5.6922e-13, 0, 1.41421, -5.6922e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69893e-15, 0, 0, 6.19114e-18, 1.16303e-16, 0, 5.66399e-13, 0, 0
0.0752493, 0, 9.38157e-13, 0, 1.41421, -9.38157e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4482e-15, 0, 0, 1.04415e-17, 1.98908e-16, 0, 9.33499e-13, 0, 0
