   PIQUANT 0.0.0-main  ps__0545_0715362334_000PTFE_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0495322, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.041455, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0333777, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0253005, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0172233, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00914608, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00106886, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00700836, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0150856, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0231628, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.03124, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0393173, 0, 1.51721e-28, 0, 1.41421, -1.51721e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60993e-31, 0, 0, 6.46681e-34, 1.17133e-34, 0, 1.51359e-28, 0, 0
0.0473945, 0, 1.51369e-27, 0, 1.41421, -1.51369e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60154e-30, 0, 0, 6.45179e-33, 1.13761e-32, 0, 1.51007e-27, 0, 0
0.0554717, 0, 9.50971e-27, 0, 1.41421, -9.50971e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26265e-29, 0, 0, 4.05329e-32, 1.1821e-31, 0, 9.48693e-27, 0, 0
0.0635489, 0, 4.79129e-26, 0, 1.41421, -4.79129e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13999e-28, 0, 0, 2.04217e-31, 7.68678e-31, 0, 4.77979e-26, 0, 0
0.0716261, 0, 2.10951e-25, 0, 1.41421, -2.10951e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01914e-28, 0, 0, 8.99863e-31, 3.9719e-30, 0, 2.10445e-25, 0, 0
0.0797034, 0, 8.45747e-25, 0, 1.41421, -8.45747e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01227e-27, 0, 0, 3.6143e-30, 1.78265e-29, 0, 8.43714e-25, 0, 0
0.0877806, 0, 3.15974e-24, 0, 1.41421, -3.15974e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5179e-27, 0, 0, 1.35385e-29, 7.25704e-29, 0, 3.15214e-24, 0, 0
0.0958578, 0, 1.1159e-23, 0, 1.41421, -1.1159e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65503e-26, 0, 0, 4.7965e-29, 2.74612e-28, 0, 1.11321e-23, 0, 0
0.103935, 0, 3.76098e-23, 0, 1.41421, -3.76098e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.94839e-26, 0, 0, 1.62242e-28, 9.80677e-28, 0, 3.75192e-23, 0, 0
0.112012, 0, 1.21788e-22, 0, 1.41421, -1.21788e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89765e-25, 0, 0, 5.27436e-28, 3.33835e-27, 0, 1.21494e-22, 0, 0
0.12009, 0, 3.80788e-22, 0, 1.41421, -3.80788e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.05994e-25, 0, 0, 1.65605e-27, 1.09092e-26, 0, 3.7987e-22, 0, 0
0.128167, 0, 1.15393e-21, 0, 1.41421, -1.15393e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7455e-24, 0, 0, 5.04088e-27, 3.43989e-26, 0, 1.15115e-21, 0, 0
0.136244, 0, 3.39931e-21, 0, 1.41421, -3.39931e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.08782e-24, 0, 0, 1.49197e-26, 1.05077e-25, 0, 3.3911e-21, 0, 0
0.144321, 0, 9.75774e-21, 0, 1.41421, -9.75774e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32161e-23, 0, 0, 4.30396e-26, 3.119e-25, 0, 9.73417e-21, 0, 0
0.152398, 0, 2.73474e-20, 0, 1.41421, -2.73474e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50664e-23, 0, 0, 1.21252e-25, 9.01887e-25, 0, 2.72813e-20, 0, 0
0.160476, 0, 7.49548e-20, 0, 1.41421, -7.49548e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78336e-22, 0, 0, 3.34147e-25, 2.54564e-24, 0, 7.47736e-20, 0, 0
0.168553, 0, 2.01187e-19, 0, 1.41421, -2.01187e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78672e-22, 0, 0, 9.0201e-25, 7.02563e-24, 0, 2.007e-19, 0, 0
0.17663, 0, 5.29452e-19, 0, 1.41421, -5.29452e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2597e-21, 0, 0, 2.38797e-24, 1.89863e-23, 0, 5.28171e-19, 0, 0
0.184707, 0, 1.36748e-18, 0, 1.41421, -1.36748e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25356e-21, 0, 0, 6.20625e-24, 5.03025e-23, 0, 1.36417e-18, 0, 0
0.192785, 0, 3.46944e-18, 0, 1.41421, -3.46944e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25463e-21, 0, 0, 1.58489e-23, 1.30793e-22, 0, 3.46104e-18, 0, 0
0.200862, 0, 8.65315e-18, 0, 1.41421, -8.65315e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05879e-20, 0, 0, 3.97989e-23, 3.34059e-22, 0, 8.63218e-18, 0, 0
