   PIQUANT 0.0.0-main  ps__0661_0725638583_000PTFE_shot_20.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00235567, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00551312, 0, 1.59487e-18, 0, 1.41421, -1.59487e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03607e-21, 0, 0, 1.95583e-23, 0, 8.5546e-23, 0, 1.59173e-18, 0, 0, 0
0.0133819, 0, 3.23726e-18, 0, 1.41421, -3.23726e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16258e-21, 0, 0, 4.02693e-23, 0, 1.76845e-22, 0, 3.23088e-18, 0, 0, 0
0.0212507, 0, 6.50294e-18, 0, 1.41421, -6.50294e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23793e-20, 0, 0, 8.20679e-23, 0, 3.61778e-22, 0, 6.49012e-18, 0, 0, 0
0.0291195, 0, 1.29319e-17, 0, 1.41421, -1.29319e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46177e-20, 0, 0, 1.65604e-22, 0, 7.32684e-22, 0, 1.29064e-17, 0, 0, 0
0.0369883, 0, 2.54662e-17, 0, 1.41421, -2.54662e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84783e-20, 0, 0, 3.30975e-22, 0, 1.46948e-21, 0, 2.54159e-17, 0, 0, 0
0.0448571, 0, 4.96735e-17, 0, 1.41421, -4.96735e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45602e-20, 0, 0, 6.55339e-22, 0, 2.91961e-21, 0, 4.95753e-17, 0, 0, 0
0.0527259, 0, 9.5996e-17, 0, 1.41421, -9.5996e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82741e-19, 0, 0, 1.28586e-21, 0, 5.74812e-21, 0, 9.58063e-17, 0, 0, 0
0.0605947, 0, 1.83842e-16, 0, 1.41421, -1.83842e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49968e-19, 0, 0, 2.50079e-21, 0, 1.12172e-20, 0, 1.83479e-16, 0, 0, 0
0.0684635, 0, 3.53665e-16, 0, 1.41421, -3.53665e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73246e-19, 0, 0, 4.90577e-21, 0, 2.21027e-20, 0, 3.52965e-16, 0, 0, 0
0.0763322, 0, 6.64584e-16, 0, 1.41421, -6.64584e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26512e-18, 0, 0, 9.36406e-21, 0, 4.23379e-20, 0, 6.63267e-16, 0, 0, 0
0.084201, 0, 1.23843e-15, 0, 1.41421, -1.23843e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3575e-18, 0, 0, 1.77296e-20, 0, 8.04545e-20, 0, 1.23597e-15, 0, 0, 0
0.0920698, 0, 2.28885e-15, 0, 1.41421, -2.28885e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3571e-18, 0, 0, 3.33021e-20, 0, 1.51696e-19, 0, 2.28431e-15, 0, 0, 0
0.0999386, 0, 4.19609e-15, 0, 1.41421, -4.19609e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.98774e-18, 0, 0, 6.20645e-20, 0, 2.83841e-19, 0, 4.18776e-15, 0, 0, 0
