   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.110691, 229, 0, 0, 15.1987, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.102415, 271, 0, 0, 16.5227, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.094139, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0858627, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0775865, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0693103, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.061034, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0527578, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0444816, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0362053, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0279291, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0196529, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0113766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00310038, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00517584, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0134521, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0217283, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0300046, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0382808, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.046557, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0548333, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0631095, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0713857, 0, 1.45144e-28, 0, 1.41421, -1.45144e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6895e-31, 0, 0, 3.21643e-34, 5.81336e-34, 0, 1.44774e-28, 0, 0
0.079662, 0, 1.55021e-27, 0, 1.41421, -1.55021e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9404e-30, 0, 0, 3.43516e-33, 7.76235e-32, 0, 1.54619e-27, 0, 0
0.0879382, 0, 1.04244e-26, 0, 1.41421, -1.04244e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64963e-29, 0, 0, 2.30989e-32, 8.32577e-31, 0, 1.0397e-26, 0, 0
0.0962144, 0, 5.61663e-26, 0, 1.41421, -5.61663e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42759e-28, 0, 0, 1.24454e-31, 5.66305e-30, 0, 5.60178e-26, 0, 0
0.104491, 0, 2.64105e-25, 0, 1.41421, -2.64105e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71268e-28, 0, 0, 5.85859e-31, 3.08147e-29, 0, 2.63402e-25, 0, 0
0.112767, 0, 1.12908e-24, 0, 1.41421, -1.12908e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86973e-27, 0, 0, 2.51009e-30, 1.4607e-28, 0, 1.12607e-24, 0, 0
0.121043, 0, 4.49053e-24, 0, 1.41421, -4.49053e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14132e-26, 0, 0, 1.00123e-29, 6.28681e-28, 0, 4.47848e-24, 0, 0
0.129319, 0, 1.68531e-23, 0, 1.41421, -1.68531e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28337e-26, 0, 0, 3.7707e-29, 2.51518e-27, 0, 1.68077e-23, 0, 0
0.137596, 0, 6.02583e-23, 0, 1.41421, -6.02583e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53151e-25, 0, 0, 1.35342e-28, 9.49028e-27, 0, 6.00955e-23, 0, 0
0.145872, 0, 2.06652e-22, 0, 1.41421, -2.06652e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25217e-25, 0, 0, 4.66088e-28, 3.41014e-26, 0, 2.06093e-22, 0, 0
0.154148, 0, 6.83156e-22, 0, 1.41421, -6.83156e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73626e-24, 0, 0, 1.54769e-27, 1.17497e-25, 0, 6.81301e-22, 0, 0
0.162424, 0, 2.18535e-21, 0, 1.41421, -2.18535e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55411e-24, 0, 0, 4.97437e-27, 3.90165e-25, 0, 2.1794e-21, 0, 0
0.170701, 0, 6.78511e-21, 0, 1.41421, -6.78511e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72444e-23, 0, 0, 1.55218e-26, 1.2535e-24, 0, 6.7666e-21, 0, 0
0.178977, 0, 2.04969e-20, 0, 1.41421, -2.04969e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20926e-23, 0, 0, 4.71367e-26, 3.90836e-24, 0, 2.04409e-20, 0, 0
0.187253, 0, 6.03649e-20, 0, 1.41421, -6.03649e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53416e-22, 0, 0, 1.39591e-25, 1.18557e-23, 0, 6.01995e-20, 0, 0
0.195529, 0, 1.73609e-19, 0, 1.41421, -1.73609e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41221e-22, 0, 0, 4.03805e-25, 3.50599e-23, 0, 1.73133e-19, 0, 0
0.203805, 0, 4.88278e-19, 0, 1.41421, -4.88278e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24093e-21, 0, 0, 1.14266e-24, 1.01247e-22, 0, 4.86934e-19, 0, 0
0.212082, 0, 1.40215e-18, 0, 1.41421, -1.40215e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56346e-21, 0, 0, 3.31143e-24, 3.00778e-22, 0, 1.39828e-18, 0, 0
0.220358, 0, 3.76228e-18, 0, 1.41421, -3.76228e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.5615e-21, 0, 0, 8.94429e-24, 8.26043e-22, 0, 3.75188e-18, 0, 0
0.228634, 0, 9.91038e-18, 0, 1.41421, -9.91038e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51862e-20, 0, 0, 2.37246e-23, 2.22556e-21, 0, 9.88295e-18, 0, 0
