   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_21.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0651395, 249, 0, 0, 15.843, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0570656, 291, 0, 0, 17.1172, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0489917, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0409178, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0328439, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0247699, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.016696, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00862212, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00054821, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00752571, 0, 3.14491e-23, 0, 1.41421, -3.14491e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02044e-25, 0, 0, 1.20085e-28, 7.21717e-28, 0, 3.13463e-23, 0, 0
0.0155996, 0, 8.93617e-23, 0, 1.41421, -8.93617e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89955e-25, 0, 0, 3.43488e-28, 2.13805e-27, 0, 8.90693e-23, 0, 0
0.0236735, 0, 2.46788e-22, 0, 1.41421, -2.46788e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0076e-25, 0, 0, 9.55163e-28, 6.12917e-27, 0, 2.4598e-22, 0, 0
0.0317475, 0, 6.64334e-22, 0, 1.41421, -6.64334e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15558e-24, 0, 0, 2.58962e-27, 1.70688e-26, 0, 6.62159e-22, 0, 0
0.0398214, 0, 1.74721e-21, 0, 1.41421, -1.74721e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66923e-24, 0, 0, 6.86102e-27, 4.63157e-26, 0, 1.74149e-21, 0, 0
