   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_22.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0157328, 250, 0, 0, 15.8745, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0236017, 292, 0, 0, 17.1464, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0314706, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0393395, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0472084, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0550773, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0629462, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0708151, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.078684, 0, 1.24933e-28, 0, 1.41421, -1.24933e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72621e-31, 0, 0, 5.13715e-34, 8.88395e-35, 0, 1.2476e-28, 0, 0
0.0865529, 0, 1.3577e-27, 0, 1.41421, -1.3577e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87592e-30, 0, 0, 5.58269e-33, 1.61374e-32, 0, 1.3558e-27, 0, 0
0.0944218, 0, 9.2608e-27, 0, 1.41421, -9.2608e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27955e-29, 0, 0, 3.8079e-32, 1.71883e-31, 0, 9.24779e-27, 0, 0
0.102291, 0, 5.04897e-26, 0, 1.41421, -5.04897e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97606e-29, 0, 0, 2.07712e-31, 1.16583e-30, 0, 5.04186e-26, 0, 0
0.11016, 0, 2.39755e-25, 0, 1.41421, -2.39755e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31263e-28, 0, 0, 9.8837e-31, 6.34027e-30, 0, 2.39416e-25, 0, 0
0.118028, 0, 1.03336e-24, 0, 1.41421, -1.03336e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42776e-27, 0, 0, 4.27455e-30, 3.00618e-29, 0, 1.0319e-24, 0, 0
0.125897, 0, 4.13724e-24, 0, 1.41421, -4.13724e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.71629e-27, 0, 0, 1.71891e-29, 1.29416e-28, 0, 4.13138e-24, 0, 0
0.133766, 0, 1.56103e-23, 0, 1.41421, -1.56103e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15682e-26, 0, 0, 6.51839e-29, 5.17726e-28, 0, 1.55881e-23, 0, 0
0.141635, 0, 5.60451e-23, 0, 1.41421, -5.60451e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74354e-26, 0, 0, 2.35319e-28, 1.95239e-27, 0, 5.59655e-23, 0, 0
0.149504, 0, 1.9278e-22, 0, 1.41421, -1.9278e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66356e-25, 0, 0, 8.14203e-28, 7.00729e-27, 0, 1.92506e-22, 0, 0
0.157373, 0, 6.38529e-22, 0, 1.41421, -6.38529e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82229e-25, 0, 0, 2.71358e-27, 2.40992e-26, 0, 6.3762e-22, 0, 0
0.165242, 0, 2.04446e-21, 0, 1.41421, -2.04446e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82475e-24, 0, 0, 8.7451e-27, 7.98203e-26, 0, 2.04155e-21, 0, 0
0.173111, 0, 6.34737e-21, 0, 1.41421, -6.34737e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76988e-24, 0, 0, 2.73357e-26, 2.55605e-25, 0, 6.33832e-21, 0, 0
