   PIQUANT 0.0.0-main  ps__0845_0741970080_000PTFE_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.02541, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0174085, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00940702, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00140555, 0, 3.29678e-16, 0, 1.41421, -3.29678e-16, 0, 0, 0, 0, 0, 0, 0, 9.05134e-19, 0, 0, 2.5646e-21, 4.90273e-20, 0, 3.28721e-16, 0, 0
0.00659592, 0, 6.16442e-16, 0, 1.41421, -6.16442e-16, 0, 0, 0, 0, 0, 0, 0, 1.69244e-18, 0, 0, 4.88335e-21, 9.38984e-20, 0, 6.1465e-16, 0, 0
0.0145974, 0, 1.14271e-15, 0, 1.41421, -1.14271e-15, 0, 0, 0, 0, 0, 0, 0, 3.13729e-18, 0, 0, 9.21979e-21, 1.78364e-19, 0, 1.13938e-15, 0, 0
0.0225989, 0, 2.10035e-15, 0, 1.41421, -2.10035e-15, 0, 0, 0, 0, 0, 0, 0, 5.76647e-18, 0, 0, 1.72627e-20, 3.36104e-19, 0, 2.09423e-15, 0, 0
0.0306003, 0, 3.82857e-15, 0, 1.41421, -3.82857e-15, 0, 0, 0, 0, 0, 0, 0, 1.05112e-17, 0, 0, 3.20599e-20, 6.28423e-19, 0, 3.8174e-15, 0, 0
0.0386018, 0, 6.92203e-15, 0, 1.41421, -6.92203e-15, 0, 0, 0, 0, 0, 0, 0, 1.90041e-17, 0, 0, 5.90675e-20, 1.16606e-18, 0, 6.9018e-15, 0, 0
0.0466033, 0, 1.25068e-14, 0, 1.41421, -1.25068e-14, 0, 0, 0, 0, 0, 0, 0, 3.43368e-17, 0, 0, 1.0913e-19, 2.17467e-18, 0, 1.24702e-14, 0, 0
0.0546048, 0, 2.22384e-14, 0, 1.41421, -2.22384e-14, 0, 0, 0, 0, 0, 0, 0, 6.10539e-17, 0, 0, 1.97782e-19, 3.97241e-18, 0, 2.21732e-14, 0, 0
0.0626062, 0, 3.92389e-14, 0, 1.41421, -3.92389e-14, 0, 0, 0, 0, 0, 0, 0, 1.07727e-16, 0, 0, 3.55787e-19, 7.20535e-18, 0, 3.91236e-14, 0, 0
0.0706077, 0, 6.87126e-14, 0, 1.41421, -6.87126e-14, 0, 0, 0, 0, 0, 0, 0, 1.88643e-16, 0, 0, 6.3534e-19, 1.29796e-17, 0, 6.85103e-14, 0, 0
0.0786092, 0, 1.19428e-13, 0, 1.41421, -1.19428e-13, 0, 0, 0, 0, 0, 0, 0, 3.27875e-16, 0, 0, 1.12637e-18, 2.32233e-17, 0, 1.19076e-13, 0, 0
0.0866107, 0, 2.06048e-13, 0, 1.41421, -2.06048e-13, 0, 0, 0, 0, 0, 0, 0, 5.65676e-16, 0, 0, 1.98275e-18, 4.12759e-17, 0, 2.05439e-13, 0, 0
0.0946121, 0, 3.52908e-13, 0, 1.41421, -3.52908e-13, 0, 0, 0, 0, 0, 0, 0, 9.68856e-16, 0, 0, 3.46585e-18, 7.28836e-17, 0, 3.51863e-13, 0, 0
0.102614, 0, 6.00098e-13, 0, 1.41421, -6.00098e-13, 0, 0, 0, 0, 0, 0, 0, 1.64747e-15, 0, 0, 6.01663e-18, 1.2787e-16, 0, 5.98317e-13, 0, 0
0.110615, 0, 1.01318e-12, 0, 1.41421, -1.01318e-12, 0, 0, 0, 0, 0, 0, 0, 2.7815e-15, 0, 0, 1.03739e-17, 2.22924e-16, 0, 1.01016e-12, 0, 0
0.118617, 0, 1.69856e-12, 0, 1.41421, -1.69856e-12, 0, 0, 0, 0, 0, 0, 0, 4.66307e-15, 0, 0, 1.77671e-17, 3.86217e-16, 0, 1.69349e-12, 0, 0
0.126618, 0, 2.82773e-12, 0, 1.41421, -2.82773e-12, 0, 0, 0, 0, 0, 0, 0, 7.76299e-15, 0, 0, 3.02283e-17, 6.65017e-16, 0, 2.81927e-12, 0, 0
0.13462, 0, 4.67504e-12, 0, 1.41421, -4.67504e-12, 0, 0, 0, 0, 0, 0, 0, 1.28344e-14, 0, 0, 5.1095e-17, 1.13814e-15, 0, 4.66101e-12, 0, 0
0.142621, 0, 7.67626e-12, 0, 1.41421, -7.67626e-12, 0, 0, 0, 0, 0, 0, 0, 2.10738e-14, 0, 0, 8.58122e-17, 1.93623e-15, 0, 7.65316e-12, 0, 0
0.150622, 0, 1.25186e-11, 0, 1.41421, -1.25186e-11, 0, 0, 0, 0, 0, 0, 0, 3.43679e-14, 0, 0, 1.43208e-16, 3.27468e-15, 0, 1.24808e-11, 0, 0
0.158624, 0, 2.02779e-11, 0, 1.41421, -2.02779e-11, 0, 0, 0, 0, 0, 0, 0, 5.56709e-14, 0, 0, 2.37509e-16, 5.50619e-15, 0, 2.02165e-11, 0, 0
0.166625, 0, 3.26272e-11, 0, 1.41421, -3.26272e-11, 0, 0, 0, 0, 0, 0, 0, 8.95768e-14, 0, 0, 3.91502e-16, 9.20534e-15, 0, 3.2528e-11, 0, 0
