   PIQUANT 0.0.0-main  ps__0845_0741970080_000PTFE_shot_9.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.040477, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0324085, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0243401, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0162716, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00820317, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000134716, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00793373, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0160022, 0, 1.8133e-28, 0, 1.41421, -1.8133e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9216e-31, 0, 0, 4.66807e-34, 1.94735e-34, 0, 1.80537e-28, 0, 0
0.0240706, 0, 1.73359e-27, 0, 1.41421, -1.73359e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57332e-30, 0, 0, 4.46283e-33, 1.90743e-32, 0, 1.726e-27, 0, 0
0.0321391, 0, 1.04386e-26, 0, 1.41421, -1.04386e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56016e-29, 0, 0, 2.68723e-32, 1.90224e-31, 0, 1.03928e-26, 0, 0
0.0402076, 0, 7.66123e-26, 0, 1.41421, -7.66123e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34681e-28, 0, 0, 1.97404e-31, 2.08979e-30, 0, 7.62754e-26, 0, 0
0.048276, 0, 2.98295e-25, 0, 1.41421, -2.98295e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3031e-27, 0, 0, 7.70179e-31, 9.09968e-30, 0, 2.96982e-25, 0, 0
0.0563445, 0, 1.08339e-24, 0, 1.41421, -1.08339e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73277e-27, 0, 0, 2.80545e-30, 3.5974e-29, 0, 1.07862e-24, 0, 0
0.0644129, 0, 3.72336e-24, 0, 1.41421, -3.72336e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62654e-26, 0, 0, 9.67598e-30, 1.32332e-28, 0, 3.70695e-24, 0, 0
0.0724814, 0, 1.22245e-23, 0, 1.41421, -1.22245e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34021e-26, 0, 0, 3.18953e-29, 4.59872e-28, 0, 1.21706e-23, 0, 0
0.0805498, 0, 3.85999e-23, 0, 1.41421, -3.85999e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68622e-25, 0, 0, 1.0115e-28, 1.52494e-27, 0, 3.84296e-23, 0, 0
