   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_17.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0669777, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0588247, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0506717, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0425187, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0343657, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0262127, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0180596, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00990663, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00175362, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0063994, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0145524, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0227054, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0308584, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0390115, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0471645, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0553175, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0634705, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0716235, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0797765, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0879296, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0960826, 0, 2.49522e-28, 0, 1.41421, -2.49522e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00611e-30, 0, 0, 8.5977e-34, 5.8965e-34, 0, 2.48514e-28, 0, 0
0.104236, 0, 2.68918e-27, 0, 1.41421, -2.68918e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08427e-29, 0, 0, 9.26555e-33, 1.44669e-31, 0, 2.67819e-27, 0, 0
0.112389, 0, 1.82309e-26, 0, 1.41421, -1.82309e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35042e-29, 0, 0, 6.28127e-32, 1.49948e-30, 0, 1.81559e-26, 0, 0
0.120542, 0, 1.09414e-25, 0, 1.41421, -1.09414e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41129e-28, 0, 0, 3.79704e-31, 1.18177e-29, 0, 1.08961e-25, 0, 0
0.128695, 0, 5.32144e-25, 0, 1.41421, -5.32144e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14543e-27, 0, 0, 1.85995e-30, 6.49823e-29, 0, 5.29931e-25, 0, 0
0.136848, 0, 2.29794e-24, 0, 1.41421, -2.29794e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.26447e-27, 0, 0, 8.09066e-30, 3.03257e-28, 0, 2.28836e-24, 0, 0
0.145001, 0, 9.14532e-24, 0, 1.41421, -9.14532e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68704e-26, 0, 0, 3.24402e-29, 1.27789e-27, 0, 9.10714e-24, 0, 0
0.153154, 0, 3.42025e-23, 0, 1.41421, -3.42025e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3789e-25, 0, 0, 1.22249e-28, 5.00302e-27, 0, 3.40594e-23, 0, 0
0.161307, 0, 1.21619e-22, 0, 1.41421, -1.21619e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90315e-25, 0, 0, 4.38097e-28, 1.84903e-26, 0, 1.2111e-22, 0, 0
0.16946, 0, 4.14389e-22, 0, 1.41421, -4.14389e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67062e-24, 0, 0, 1.50467e-27, 6.51616e-26, 0, 4.12651e-22, 0, 0
0.177613, 0, 1.3604e-21, 0, 1.41421, -1.3604e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48448e-24, 0, 0, 4.98042e-27, 2.20473e-25, 0, 1.35469e-21, 0, 0
0.185766, 0, 4.32078e-21, 0, 1.41421, -4.32078e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74192e-23, 0, 0, 1.59528e-26, 7.19773e-25, 0, 4.30263e-21, 0, 0
