   PIQUANT 0.0.0-main  ps__0846_0742001877_000BHVO2_shot_23.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0028864, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00497972, 0, 1.07478e-16, 0, 1.41421, -1.07478e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16558e-19, 0, 0, 1.30607e-21, 0, 6.97677e-21, 0, 1.07353e-16, 0, 0, 0
0.0128458, 0, 1.97844e-16, 0, 1.41421, -1.97844e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14557e-19, 0, 0, 2.4419e-21, 0, 1.31147e-20, 0, 1.97614e-16, 0, 0, 0
0.020712, 0, 3.61321e-16, 0, 1.41421, -3.61321e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91843e-19, 0, 0, 4.5305e-21, 0, 2.44678e-20, 0, 3.60901e-16, 0, 0, 0
0.0285781, 0, 6.54787e-16, 0, 1.41421, -6.54787e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10098e-19, 0, 0, 8.34247e-21, 0, 4.53155e-20, 0, 6.54023e-16, 0, 0, 0
0.0364442, 0, 1.17763e-15, 0, 1.41421, -1.17763e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27711e-18, 0, 0, 1.52491e-20, 0, 8.3329e-20, 0, 1.17626e-15, 0, 0, 0
0.0443103, 0, 2.10224e-15, 0, 1.41421, -2.10224e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27981e-18, 0, 0, 2.76728e-20, 0, 1.52166e-19, 0, 2.09978e-15, 0, 0, 0
0.0521765, 0, 3.7254e-15, 0, 1.41421, -3.7254e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04006e-18, 0, 0, 4.98639e-20, 0, 2.75983e-19, 0, 3.72103e-15, 0, 0, 0
0.0600426, 0, 6.55438e-15, 0, 1.41421, -6.55438e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10798e-18, 0, 0, 8.92265e-20, 0, 4.97226e-19, 0, 6.54668e-15, 0, 0, 0
0.0679087, 0, 1.145e-14, 0, 1.41421, -1.145e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24171e-17, 0, 0, 1.58572e-19, 0, 8.90008e-19, 0, 1.14366e-14, 0, 0, 0
