   PIQUANT 0.0.0-main  ps__0846_0742001877_000BHVO2_shot_8.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0029076, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00495874, 0, 4.01111e-16, 0, 1.41421, -4.01111e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93543e-19, 0, 0, 4.66006e-21, 0, 0, 4.00313e-16, 0, 0, 0
0.0128251, 0, 7.15596e-16, 0, 1.41421, -7.15596e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41571e-18, 0, 0, 8.45301e-21, 0, 0, 7.14172e-16, 0, 0, 0
0.0206914, 0, 1.26753e-15, 0, 1.41421, -1.26753e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50762e-18, 0, 0, 1.52263e-20, 0, 0, 1.265e-15, 0, 0, 0
0.0285577, 0, 2.22939e-15, 0, 1.41421, -2.22939e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41053e-18, 0, 0, 2.72395e-20, 0, 0, 2.22495e-15, 0, 0, 0
0.0364241, 0, 3.89409e-15, 0, 1.41421, -3.89409e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70391e-18, 0, 0, 4.84038e-20, 0, 0, 3.88633e-15, 0, 0, 0
0.0442904, 0, 6.7556e-15, 0, 1.41421, -6.7556e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3365e-17, 0, 0, 8.54448e-20, 0, 0, 6.74215e-15, 0, 0, 0
0.0521567, 0, 1.16414e-14, 0, 1.41421, -1.16414e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30308e-17, 0, 0, 1.49852e-19, 0, 0, 1.16182e-14, 0, 0, 0
0.0600231, 0, 1.9928e-14, 0, 1.41421, -1.9928e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94247e-17, 0, 0, 2.6113e-19, 0, 0, 1.98883e-14, 0, 0, 0
0.0678894, 0, 3.38909e-14, 0, 1.41421, -3.38909e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.70482e-17, 0, 0, 4.52177e-19, 0, 0, 3.38234e-14, 0, 0, 0
